,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
58,021240,코웨이,그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",5,51660,70000.0,105946.74,100981.81,51.35,44.26,31.75,30.74,33.84,30.12
59,030520,한글과컴퓨터,소프트웨어 개발 및 공급업,오피스소프트웨어,5,4216,17250.0,25972.37,22450.35,50.56,30.15,10.41,8.87,3.39,11.74
60,069260,휴켐스,기타 화학제품 제조업,"화합물,화학제품 제조",6,6357,15550.0,23381.87,24233.93,50.37,55.85,11.12,10.82,17.02,21.3
61,009450,경동나비엔,가정용 기기 제조업,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",5,6497,51000.0,76593.09,57034.01,50.18,11.83,15.13,9.59,9.23,10.73
62,003220,대원제약,의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",6,3421,16900.0,25379.19,21049.87,50.17,24.56,13.28,14.05,13.51,6.52
63,100120,뷰웍스,의료용 기기 제조업,X-Ray Detector,6,3531,35300.0,52589.02,63000.21,48.98,78.47,16.16,16.03,15.56,16.6
64,104830,원익머트리얼즈,기초 화학물질 제조업,"저메인가스,디실란,아산화질소,암모니아 등",6,3486,27650.0,40699.53,40871.03,47.2,47.82,9.72,9.55,16.27,9.06
65,005180,빙그레,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",6,5861,59500.0,87093.67,70288.53,46.38,18.13,7.45,7.36,6.37,5.64
66,099190,아이센스,의료용 기기 제조업,"혈당측정스트립, 혈당측정기기 등",6,3558,25900.0,37812.63,36362.38,45.99,40.4,12.49,12.35,13.16,10.07
67,112610,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,6,9542,55200.0,80546.47,36812.6,45.92,-33.31,15.17,9.92,1.96,12.98
68,031430,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",6,10639,149000.0,215647.2,159393.85,44.73,6.98,10.12,12.98,11.09,4.96
69,200670,휴메딕스,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러",6,2588,25950.0,37293.05,37203.72,43.71,43.37,10.84,9.55,8.6,11.0
70,007310,오뚜기,기타 식품 제조업,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",6,20658,573000.0,816247.81,992042.86,42.45,73.13,10.26,7.79,13.87,12.34
71,034310,NICE,회사 본부 및 경영 컨설팅 서비스업,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",6,8239,21750.0,30817.34,23225.98,41.69,6.79,9.42,4.39,10.01,9.21
72,028670,팬오션,해상 운송업,"해상화물운송(외항,운수보관)",6,19859,3715.0,5229.45,5020.6,40.77,35.14,4.83,5.49,6.06,5.8
73,013030,하이록코리아,1차 철강 제조업,관이음쇠,6,1763,12950.0,17952.31,21676.6,38.63,67.39,5.3,3.81,3.48,7.42
74,086960,한컴MDS,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어",6,1240,14050.0,19364.91,21499.87,37.83,53.02,8.21,7.38,5.82,8.97
75,003850,보령제약,의약품 제조업,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",6,7429,15600.0,21494.8,14943.84,37.79,-4.21,10.18,11.95,8.03,25.48
76,068930,디지털대성,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),6,1485,6550.0,8920.21,0.0,36.19,-100.0,18.85,19.7,8.48,10.78
77,214450,파마리서치프로덕트,생활용품 도매업,재생의약품,6,5372,55800.0,75940.47,60639.77,36.09,8.67,11.18,8.2,7.65,7.39
78,192080,더블유게임즈,소프트웨어 개발 및 공급업,온라인 게임,5,14865,80900.0,107879.89,84146.43,33.35,4.01,17.93,18.93,19.02,9.04
79,099320,쎄트렉아이,"항공기,우주선 및 부품 제조업","소형인공위성,지상시스템",6,1635,22500.0,29847.68,0.0,32.66,-100.0,14.27,11.74,8.23,10.76
80,033780,케이티앤지,담배 제조업,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",6,106814,77800.0,103049.44,117969.48,32.45,51.63,12.51,12.39,11.38,15.71
