,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
92,099320,쎄트렉아이,"항공기,우주선 및 부품 제조업","소형인공위성,지상시스템",6,1770,24350.0,30156.51,0.0,23.85,-100.0,14.27,11.74,8.23,10.76
93,192440,슈피겐코리아,그외 기타 제품 제조업,"핸드폰 케이스, 액정보호필름",6,3630,58400.0,72002.28,81427.99,23.29,39.43,17.48,14.52,17.7,19.59
94,013030,하이록코리아,1차 철강 제조업,관이음쇠,6,1790,13150.0,16092.77,21554.21,22.38,63.91,4.68,3.81,3.48,7.42
95,136540,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",6,1938,15950.0,19408.17,15426.65,21.68,-3.28,15.49,13.61,12.04,9.08
96,139480,이마트,종합 소매업,대형마트,6,30803,110500.0,134109.49,202724.3,21.37,83.46,3.38,2.75,5.49,7.73
97,053300,한국정보인증,소프트웨어 개발 및 공급업,"공인인증서, PKI솔루션 등",6,1960,6290.0,7586.67,0.0,20.61,-100.0,9.62,8.65,10.19,7.67
98,214150,클래시스,의료용 기기 제조업,미용의료기기,6,8995,13900.0,16753.99,23061.98,20.53,65.91,40.33,48.06,34.51,-19.95
99,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",6,1659,6730.0,7960.52,8322.4,18.28,23.66,8.83,6.73,-3.83,6.86
100,010130,고려아연,1차 비철금속 제조업,"연,아연괴 제조,판매",6,74631,395500.0,467681.33,529632.6,18.25,33.91,8.74,9.76,8.64,10.96
101,108320,실리콘웍스,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",6,7197,44250.0,51980.92,48527.61,17.47,9.67,12.85,8.39,11.4,11.87
102,043370,평화정공,자동차 신품 부품 제조업,"자동차용 도어랫치, 도어힌지",6,1359,6470.0,7583.58,11539.43,17.21,78.35,2.46,5.65,8.54,15.06
103,086980,쇼박스,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화투자및배급,6,1712,2735.0,3167.77,0.0,15.82,-100.0,3.5,2.32,3.11,11.95
104,063160,종근당바이오,의약품 제조업,"의약품,원료의약품 제조",6,2236,40750.0,47173.64,31301.63,15.76,-23.19,10.52,8.01,5.49,5.78
105,036570,엔씨소프트,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",6,176071,802000.0,928430.34,580441.78,15.76,-27.63,28.91,14.72,16.44,19.14
106,003550,LG,기타 금융업,지주회사,6,124414,72100.0,83455.95,89478.99,15.75,24.1,8.05,5.87,10.96,16.04
107,089030,테크윙,특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)",5,3864,20000.0,22732.9,19318.06,13.66,-3.41,17.18,6.41,12.77,29.18
108,018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",6,131929,170500.0,193394.03,237847.23,13.43,39.5,7.98,11.76,10.91,9.91
109,039440,에스티아이,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템",6,3008,19000.0,21453.79,26299.78,12.91,38.42,18.32,14.59,16.44,33.49
110,023160,태광,1차 철강 제조업,"각종 배관자재, 관이음쇠류 제조 및 판매,발전기부품 및 판매업,반도체장비 제조업 및 무역도매",6,1982,7480.0,8380.8,10102.71,12.04,35.06,2.62,2.53,2.39,-3.8
111,004370,농심,기타 식품 제조업,"라면,스낵,유지 제조,도매,수출입",6,22323,367000.0,410107.16,367871.1,11.75,0.24,6.72,3.72,4.54,5.01
112,234080,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",6,3199,20200.0,22563.17,19287.97,11.7,-4.51,20.29,18.92,14.97,17.45
113,001430,세아베스틸,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",6,4124,11500.0,12823.33,22704.93,11.51,97.43,1.45,0.93,1.14,7.09
