,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
814,009810,엔케이물산,기타 전문 도매업,유연성 산업용 포장재(FIBC) 제조 판매,5,332.0,397.0,Ave ROE,292.0,-235.0,-2101.0,0.74,-5.29,0.0,-7.77,-31.09,-14.67,No,-5.29,0.0,-14.0,-12.0,-27.0,10,0.0,0.0,88.0,65.0,281.0
815,002410,범양건영,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",2,1341.0,5260.0,Ave ROE,3858.0,4642.0,7419.0,0.73,1.41,0.0,32.82,11.62,2.57,Yes,1.41,0.0,115.0,68.0,26.0,10,0.0,0.0,2761.0,1556.0,1368.0
816,293480,하나제약,의약품 제조업,완제의약품,5,4042.0,25300.0,Ave ROE,18352.0,21632.0,33246.0,0.73,1.31,0.0,13.3,18.28,35.63,No,1.34,0.0,336.0,336.0,319.0,10,0.0,0.0,1663.0,1528.0,1393.0
817,160980,싸이맥스,특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",5,1764.0,16150.0,S-RIM,11749.0,13338.0,18966.0,0.73,1.17,15.48,4.12,12.89,23.0,No,0.83,221.0,20.0,157.0,238.0,10,1.25,1505.0,835.0,1335.0,1641.0
818,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2,8288.0,188000.0,S-RIM,137050.0,154966.0,218408.0,0.73,1.16,15.17,20.86,0.0,0.0,No,0.8,2100.0,3229.0,1251.0,0.0,10,2.53,50239.0,59831.0,33591.0,0.0
819,086280,현대글로비스,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",4,70500.0,187000.0,S-RIM,137375.0,147059.0,181352.0,0.73,0.97,11.46,11.25,10.6,18.23,No,1.03,6863.0,8765.0,7101.0,7271.0,10,0.97,161933.0,182701.0,168656.0,163583.0
820,286940,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",4,5712.0,37800.0,S-RIM,27419.0,28637.0,32952.0,0.73,0.87,10.05,14.77,9.65,0.0,Yes,0.93,473.0,411.0,390.0,53.0,10,0.83,9119.0,8457.0,8117.0,1491.0
821,082210,옵트론텍,사진장비 및 광학기기 제조업,"IRFilter,Grating",0,1553.0,6600.0,S-RIM,4808.0,4892.0,5187.0,0.73,0.79,8.69,9.79,3.67,5.25,No,0.68,120.0,223.0,135.0,171.0,10,0.77,2231.0,2389.0,1436.0,1546.0
822,006890,태경케미컬,기초 화학물질 제조업,"드라이아이스,액체탄산,고체탄산 제조",5,1462.0,13450.0,Ave ROE,9763.0,9240.0,7389.0,0.73,0.55,0.0,8.67,2.83,1.7,Yes,0.54,0.0,12.0,32.0,18.0,10,0.0,0.0,418.0,474.0,489.0
823,011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업","골판지,골판지상자,수출용박스 제조,도매/인쇄",4,4170.0,5650.0,Ave ROE,4114.0,3862.0,2969.0,0.73,0.53,0.0,5.88,6.94,0.0,No,0.52,0.0,208.0,357.0,33.0,10,0.0,0.0,5729.0,6087.0,5657.0
