,Code,Name,Industry,Main_product,시가총액_억,Ratio,영업활동&현금_202006,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
8137,331920,셀레믹스,기초 의약물질 및 생물학적 제제 제조업,타겟캡처키트,1561,0.0,0.0,-54.0,0.0,0.0
8138,331920,셀레믹스,기초 의약물질 및 생물학적 제제 제조업,타겟캡처키트,1561,0.0,0.0,0.0,-53.0,0.0
8139,331920,셀레믹스,기초 의약물질 및 생물학적 제제 제조업,타겟캡처키트,1561,0.0,0.0,0.0,0.0,0.0
8140,332290,대신밸런스제7호스팩,금융 지원 서비스업,기업 인수 및 합병,105,0.0,0.0,0.0,0.0,0.0
8141,332370,아이디피,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",559,0.0,0.0,0.0,0.0,0.0
8142,332370,아이디피,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",559,0.0,0.0,17.0,0.0,0.0
8143,332370,아이디피,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",559,0.0,0.0,0.0,20.0,0.0
8144,332370,아이디피,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",559,0.0,0.0,0.0,0.0,25.0
8145,332570,와이팜,전자부품 제조업,전력증폭기 모듈(PAM),5386,0.0,0.0,0.0,-40.0,0.0
8146,332570,와이팜,전자부품 제조업,전력증폭기 모듈(PAM),5386,0.0,0.0,0.0,0.0,0.0
8147,332570,와이팜,전자부품 제조업,전력증폭기 모듈(PAM),5386,0.0,0.0,0.0,0.0,8.0
8148,332570,와이팜,전자부품 제조업,전력증폭기 모듈(PAM),5386,0.0,0.0,127.0,0.0,0.0
8149,332710,하나금융14호스팩,금융 지원 서비스업,기업인수합병,89,0.0,0.0,-1.0,0.0,0.0
8150,332710,하나금융14호스팩,금융 지원 서비스업,기업인수합병,89,0.0,0.0,0.0,0.0,0.0
8151,333050,신한제6호스팩,금융 지원 서비스업,기업인수 및 합병,101,0.0,0.0,-2.0,0.0,0.0
8152,333050,신한제6호스팩,금융 지원 서비스업,기업인수 및 합병,101,0.0,0.0,0.0,0.0,0.0
8153,333430,미래에셋대우스팩4호,금융 지원 서비스업,기업인수합병,90,0.0,0.0,0.0,0.0,0.0
