,code,year,매출액,영업이익,당기순이익,ROE,EPS
328,004100,2017/12,4692.0,100.0,-42.0,-3.89,-102.0
329,004100,2018/12,4492.0,72.0,-54.0,-5.35,-134.0
330,004100,2019/12,4709.0,-176.0,-221.0,-26.3,-553.0
331,004100,2020/12(E),0.0,0.0,0.0,0.0,0.0
332,058430,2016/12,7980.0,411.0,314.0,16.39,5186.0
333,058430,2017/12,9121.0,244.0,175.0,8.6,2999.0
334,058430,2018/12,9403.0,178.0,108.0,5.24,1891.0
335,058430,2019/12,9167.0,100.0,26.0,1.23,446.0
336,058430,2020/12(E),0.0,0.0,0.0,0.0,0.0
337,033180,2016/12,1078.0,106.0,59.0,7.74,211.0
338,033180,2017/12,1120.0,84.0,37.0,5.07,134.0
339,033180,2018/12,1100.0,10.0,-110.0,-7.95,-200.0
340,033180,2019/12,1351.0,29.0,-117.0,-5.29,-156.0
341,033180,2020/12(E),0.0,0.0,0.0,0.0,0.0
342,005430,2016/12,4726.0,268.0,174.0,6.34,5507.0
343,005430,2017/12,4854.0,270.0,224.0,7.49,7067.0
344,005430,2018/12,5261.0,247.0,188.0,5.93,5949.0
345,005430,2019/12,5290.0,220.0,163.0,5.07,5136.0
346,005430,2020/12(E),0.0,0.0,0.0,0.0,0.0
347,023350,2016/12,1994.0,42.0,31.0,2.51,280.0
348,023350,2017/12,1996.0,-73.0,-78.0,-6.6,-714.0
349,023350,2018/12,1909.0,-62.0,-66.0,-6.14,-606.0
350,023350,2019/12,2189.0,-21.0,-36.0,-3.61,-325.0
351,023350,2020/12(E),0.0,0.0,0.0,0.0,0.0
352,104700,2016/12,6634.0,530.0,465.0,6.22,1011.0
353,104700,2017/12,7389.0,461.0,-434.0,-5.83,-942.0
354,104700,2018/12,7775.0,254.0,122.0,1.7,264.0
355,104700,2019/12,7191.0,122.0,191.0,2.65,414.0
356,104700,2020/12(E),0.0,0.0,0.0,0.0,0.0
357,060980,2016/12,8445.0,935.0,804.0,8.24,6975.0
358,060980,2017/12,8907.0,637.0,435.0,4.64,3982.0
359,060980,2018/12,8865.0,579.0,131.0,1.46,1214.0
360,060980,2019/12,7984.0,754.0,411.0,4.69,3918.0
361,060980,2020/12(E),7180.0,527.0,215.0,2.37,2010.0
362,008930,2016/12,6653.0,151.0,79.0,1.29,120.0
363,008930,2017/12,6523.0,140.0,308.0,4.59,456.0
364,008930,2018/12,7080.0,110.0,180.0,2.73,273.0
365,008930,2019/12,8166.0,161.0,307.0,4.73,466.0
366,008930,2020/12(E),0.0,0.0,0.0,0.0,0.0
367,128940,2016/12,8827.0,268.0,303.0,3.5,1970.0
368,128940,2017/12,9166.0,822.0,690.0,8.81,5103.0
369,128940,2018/12,10160.0,836.0,342.0,3.52,2102.0
370,128940,2019/12,11136.0,1039.0,639.0,7.3,4400.0
371,128940,2020/12(E),11228.0,891.0,487.0,5.32,3314.0
372,009180,2016/12,3847.0,51.0,36.0,8.61,200.0
373,009180,2017/12,3553.0,23.0,29.0,6.29,158.0
374,009180,2018/12,4342.0,39.0,15.0,2.81,74.0
375,009180,2019/12,4607.0,95.0,59.0,11.44,215.0
376,009180,2020/12(E),0.0,0.0,0.0,0.0,0.0
377,002220,2016/12,1113.0,61.0,47.0,3.41,249.0
378,002220,2017/12,1558.0,45.0,94.0,6.16,473.0
