,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
562,251970,펌텍코리아,플라스틱제품 제조업,화장품 용기,5,1804.0,14500.0,Ave ROE,17370.0,21492.0,36171.0,1.2,2.49,0.0,18.07,28.89,30.19,No,2.77,300.0,269.0,245.0,192.0,10,1.66,2150.0,1754.0,1511.0,1336.0
563,255440,야스,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",5,1678.0,12700.0,Ave ROE,15257.0,18031.0,27909.0,1.2,2.2,0.0,11.22,29.17,20.84,No,2.2,0.0,125.0,442.0,178.0,10,0.0,0.0,869.0,1845.0,865.0
564,092590,럭스피아,반도체 제조업,"LED 패키지, LED 모듈",5,101.0,1400.0,Ave ROE,1685.0,1786.0,2149.0,1.2,1.54,0.0,15.42,6.01,6.71,No,1.53,0.0,19.0,7.0,6.0,10,0.0,0.0,153.0,122.0,112.0
565,138490,코오롱플라스틱,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱,5,1522.0,4005.0,Ave ROE,4787.0,4474.0,3361.0,1.2,0.84,0.0,2.75,6.28,9.48,No,0.84,0.0,103.0,194.0,196.0,10,0.0,0.0,3303.0,3213.0,2622.0
566,016710,대성홀딩스,회사 본부 및 경영 컨설팅 서비스업,"도시가스,일반가스 공급/가스기기,차량용 연료 판매/해외자원개발,부동산 임대",5,3017.0,19350.0,Ave ROE,23245.0,21148.0,13680.0,1.2,0.71,0.0,3.24,4.79,5.34,No,0.71,0.0,239.0,184.0,245.0,10,0.0,0.0,9186.0,9098.0,9031.0
567,076080,웰크론한텍,건물 건설업,"에너지절감설비,자동화배합설비,환경설비",3,394.0,1985.0,Ave ROE,2374.0,1640.0,-977.0,1.2,-0.49,0.0,-2.99,-1.59,-1.53,No,-0.48,0.0,-58.0,34.0,24.0,10,0.0,0.0,2708.0,2643.0,2519.0
568,221840,하이즈항공,"항공기,우주선 및 부품 제조업",B787 날개구조물 등,5,609.0,3420.0,Ave ROE,4066.0,3569.0,1799.0,1.19,0.53,0.0,4.89,1.15,0.88,Yes,0.52,0.0,38.0,12.0,20.0,10,0.0,0.0,737.0,517.0,447.0
569,101670,코리아에스이,"구조용 금속제품, 탱크 및 증기발생기 제조업","영구앵커,교량용케이블,타이케이블",5,204.0,1115.0,Ave ROE,1323.0,991.0,-189.0,1.19,-0.17,0.0,-2.17,-5.38,12.23,No,-0.17,0.0,-26.0,-29.0,-8.0,10,0.0,0.0,133.0,143.0,156.0
570,064960,S&T모티브,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",5,6931.0,47200.0,S-RIM,55667.0,57298.0,63105.0,1.18,1.34,9.21,0.33,7.77,8.12,No,0.58,818.0,892.0,582.0,967.0,10,1.18,9529.0,9763.0,9189.0,11375.0
571,149950,아바텍,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터",5,1258.0,8120.0,Ave ROE,9597.0,9288.0,8190.0,1.18,1.01,0.0,5.3,5.63,11.2,No,0.96,0.0,54.0,56.0,159.0,10,0.0,0.0,754.0,743.0,956.0
572,089140,넥스턴,유리 및 유리제품 제조업,CNC자동선반,5,902.0,7550.0,Ave ROE,8932.0,8596.0,7401.0,1.18,0.98,0.0,5.89,5.93,7.46,No,0.95,0.0,30.0,41.0,101.0,10,0.0,0.0,324.0,266.0,437.0
573,014190,원익큐브,기타 전문 도매업,"이에이엠, 2-헤마, 비에이엠, 엠엠에이, 아스팔트슁글",5,558.0,1570.0,Ave ROE,1846.0,1519.0,356.0,1.18,0.23,0.0,4.94,-4.87,2.25,No,0.23,0.0,-18.0,-15.0,34.0,10,0.0,0.0,2039.0,2211.0,2402.0
574,014470,부방,기타 금융업,"수정진동자, 수정발진기, 전기보온밥솥 등",5,1273.0,2125.0,Ave ROE,2502.0,1782.0,-779.0,1.18,-0.37,0.0,-4.69,1.1,1.29,No,-0.35,0.0,-42.0,40.0,-38.0,10,0.0,0.0,3303.0,3486.0,3833.0
575,011300,성안,직물직조 및 직물제품 제조업,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1,201.0,359.0,Ave ROE,424.0,-142.0,-2158.0,1.18,-6.01,0.0,-16.49,-12.64,-11.56,No,-6.02,0.0,-130.0,-107.0,-50.0,10,0.0,0.0,2169.0,2202.0,2031.0
576,010640,진양폴리우레탄,플라스틱제품 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매",5,304.0,2995.0,Ave ROE,3499.0,4134.0,6395.0,1.17,2.14,0.0,33.12,5.15,2.99,Yes,2.13,0.0,31.0,11.0,-8.0,10,0.0,0.0,351.0,301.0,236.0
577,189980,흥국에프엔비,비알코올음료 및 얼음 제조업,"과일음료(에이드베이스, 스무디, 착즙쥬스 등)",5,546.0,1495.0,Ave ROE,1753.0,1706.0,1540.0,1.17,1.03,0.0,8.57,4.71,4.64,Yes,1.15,0.0,58.0,43.0,29.0,10,0.0,0.0,538.0,477.0,449.0
578,006890,태경케미컬,기초 화학물질 제조업,"드라이아이스,액체탄산,고체탄산 제조",5,942.0,8340.0,Ave ROE,9779.0,9267.0,7445.0,1.17,0.89,0.0,8.67,2.83,1.7,Yes,0.88,0.0,12.0,32.0,18.0,10,0.0,0.0,418.0,474.0,489.0
579,039610,화성밸브,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기",4,521.0,5390.0,Ave ROE,6287.0,5761.0,3885.0,1.17,0.72,0.0,4.33,5.02,3.04,No,0.72,0.0,34.0,38.0,23.0,10,0.0,0.0,681.0,662.0,437.0
580,045300,성우테크론,전자부품 제조업,"리드프레임가공, 반도체 장비",5,486.0,5250.0,Ave ROE,6099.0,6509.0,7972.0,1.16,1.52,0.0,9.37,12.14,14.84,No,1.48,0.0,22.0,72.0,54.0,15,0.0,0.0,330.0,395.0,382.0
581,121060,유니포인트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","소프트웨어 개발, 도소매컴퓨터시스템 설계, 자문",1,75.0,1265.0,Ave ROE,1470.0,1384.0,1079.0,1.16,0.85,0.0,-6.74,16.85,18.45,No,0.8,0.0,1.0,16.0,18.0,10,0.0,0.0,1158.0,1075.0,939.0
582,025750,한솔홈데코,제재 및 목재 가공업,"PB,MDF,바닥재,강화,재생목재,LPM,제재목 제조,도소매,무역/임업,벌목관련 사업",5,1031.0,1350.0,Ave ROE,1562.0,1295.0,347.0,1.16,0.26,0.0,-2.89,7.44,2.28,No,0.26,0.0,-17.0,92.0,95.0,10,0.0,0.0,2639.0,2969.0,2543.0
583,025880,케이씨피드,동물용 사료 및 조제식품 제조업,사료,5,333.0,1940.0,Ave ROE,2260.0,1467.0,-1354.0,1.16,-0.7,0.0,-11.61,1.7,12.24,No,-0.68,0.0,-17.0,4.0,29.0,10,0.0,0.0,643.0,637.0,797.0
584,225860,엠앤씨생명과학,기타 화학제품 제조업,"무합성화장품, 건강기능식품",2,20.0,174.0,Ave ROE,200.0,612.0,2076.0,1.15,11.93,0.0,0.0,-131.27,-20.82,No,11.95,0.0,-44.0,-37.0,19.0,10,0.0,0.0,281.0,280.0,559.0
585,017040,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역",5,743.0,1790.0,Ave ROE,2064.0,1920.0,1407.0,1.15,0.79,0.0,8.53,2.93,-2.2,Yes,0.79,0.0,80.0,29.0,22.0,10,0.0,0.0,1319.0,1126.0,1016.0
586,054410,케이피티유,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment",5,256.0,4955.0,Ave ROE,5678.0,5055.0,2835.0,1.15,0.57,0.0,-2.35,6.92,13.64,No,0.57,0.0,6.0,16.0,21.0,10,0.0,0.0,243.0,251.0,264.0
